country,city,accentCity,region,population,latitude,longitude
ad,b'gAAAAABji5lPviqDTQdNF1S5jiPp1T9TElfZnzbD2diWloYN9ZMl0n5X6JprQ-AuJJ7OO6o4jLr4xW62GVvJwn7dyry91RL6GQ==',El Pui,04,,42.55,1.5166667
ad,b'gAAAAABji5lP6kETX-o4sD27CywKcgrRR3pcptMcHlylMP0Iy00Oa7Fn_q_61mDhgIg7DCwinboC6uHS9TQ8aCACRbpN-wfcqA==',Els Bons,03,,42.533333299999995,1.5833333
ad,b'gAAAAABji5lPWdVeeL3G5NJewaaPoAWysMBqGjTfz7FMRDPARsat61UFXwZXCujL7y5gncpbwcBbXqc9WoykgkIzME_QdmR80w==',El Serrat,04,,42.6166667,1.55
ad,b'gAAAAABji5lPpzHEdume3a15qcTXfesJqtwGgsNJuFXu6n3o9tO5k8cj6T0elLnTXtnYbjHWdpqS5VMgHeSwgzC9DXQwo968Rw==',Els Plans,02,,42.5833333,1.6333333
ad,b'gAAAAABji5lPun3lqM6VmqQSLA5YPY3bJzIcdr6g2VYdeZM69a3Ji-LvQxWp6jDfaNFSjS4UHlVAdXmeV8SdljtsGYgy0XQO9Q==',El Tarter,02,,42.5833333,1.65
ad,b'gAAAAABji5lPwOL6XePIXpMfBt77KNzS_ByCAL7d_kUCK8qwtxizUuZEAol58nqClE28BvikoopgLR2lq4tE3lEUtxHICNTX6Q==',El Tremat,03,,42.55,1.5833333
ad,b'gAAAAABji5lPa6uWyOt9vHMV5RtJAMExXmcHIR-_iNhPK7Q1F3CeaoVncnteMlpBMRKBj8z5VSnM1wtZUBUFvdGFgJ4hulRJOQ==',El Vilar,02,,42.5666667,1.6
ad,b'gAAAAABji5lPwTB0pMfQpaVG6KF54QZAdlWn2BRSbgpLKo5HMpF6b-qSsYW9xPcZKUOxv94n1x9E3ST4IGFz0qB4-V-tU0sEDQ==',Encamp,03,11224.0,42.533333299999995,1.5833333
ad,b'gAAAAABji5lPLSuHrsAtV3N6ajuxln45uIHC6uzSeem1h2xFBKw-zU-3Sow2JhjaW2z6am8pBtRY0CI3QFUH3fNEQZWRio_3Xg==',Engordany,08,,42.5166667,1.55
ad,b'gAAAAABji5lP3JiJ5_UN3Qrk1NGTCmcpA8GmAfOo7CBIbCdT-HIXH3GOP1lY4R-Up0kaLE3bvqKU_L7qKlNT55a8ftVUQuMN3Q==',Ercs,04,,42.5666667,1.5
ad,b'gAAAAABji5lPBiZxR09f441zRJr64S6meg1dt768GtLLQxz0AQjzEbbyPINfTRn7su2CtcBSYweb3JlycRBjMhQk9VumOqY2Ww==',Ercz,04,,42.5666667,1.5
ad,b'gAAAAABji5lP5-SepVpMQy1y4hH4OApTwkgLdNeNYlvPBJCFRWLtBeLTZEISsl6GZfIxIxwrP6hRx14NuhKemLgDB2sMB8_rhw==',Erez,04,,42.5666667,1.5
ad,b'gAAAAABji5lP_VH2hnqBE8ENzrMMYeqAY8IBNh-fVSENaxbD8tZg625HnQT3n5NsnsbsGIZDG2hZo0PqjUQhi97BOo2Ki-Cg5g==',Erts,04,,42.5666667,1.5
ad,b'gAAAAABji5lPFUt8MRnwCe-UsarCrbRWNqnpl3w7GgHoRu4yLHjvHe3XcGhoypMx_CMCh1JPdoeBgEVjaXmJXrAb6ff3TmNoqQ==',Escaldas,08,,42.5,1.5333333
ad,b'gAAAAABji5lPA2EVqu5PSQ_bkNNTo_SHuLMmgAkjnE4-nlpyhpOpeZRC-rfRZ8wmzZNwCeiMOHj_qYO1VbcZkr0FM-9jMlaZLw==',Escaldes,08,,42.5,1.5333333
ad,b'gAAAAABji5lPJov2XpqO5NVdaLQ6M3jnm0eGoCG5uI2rpQlqRGnEK_cSuh5DbMho-2GKgJ5Y4pZGgR4zH0tWc_T8Pa5QEcXEsQ==',EscÃ s,04,,42.55,1.5166667
